2023-04-06 15:15:30,178 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:15:30,178 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:17:22,795 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:17:23,191 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:17:23,191 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:20:06,011 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:20:06,013 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:20:06,013 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:20:09,463 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:20:56,307 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:20:56,307 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:20:56,329 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:20:56,374 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:20:56,374 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:21:28,164 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:21:28,165 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:21:28,165 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:21:50,368 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:21:50,369 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:21:50,369 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:22:52,295 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:22:52,483 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:22:52,483 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:22:55,175 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:22:55,234 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:22:55,234 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:23:36,381 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:23:36,383 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:23:36,383 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:23:37,878 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:23:38,030 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:23:38,030 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:23:39,390 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:23:39,433 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:23:39,433 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:00,788 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:00,789 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:00,790 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:02,705 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:02,707 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:02,707 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:03,847 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:04,026 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:04,026 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:07,448 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:07,505 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:07,505 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:17,581 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:17,582 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:17,582 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:19,128 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:19,130 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:19,130 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:19,387 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:19,388 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:19,389 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:19,640 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:19,823 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:19,824 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:22,895 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
2023-04-06 15:24:22,940 INFO    MainThread:30108 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-04-06 15:24:22,940 INFO    MainThread:30108 [wandb_init.py:_pause_backend():417] pausing backend
2023-04-06 15:24:37,121 INFO    MainThread:30108 [wandb_init.py:_resume_backend():422] resuming backend
